Contig	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings	ckv_partial	ckv_nucl_range	vs2_region	vs2_dsDNAphage	vs2_ssDNA	vs2_NCLDV	vs2_RNA	vs2_lavidaviridae	vs2_max_score	vs2_max_score_group	vs2_hallmark	vs2_viral	vs2_cellular	vs2_nucl_range	vs2_orf_range	vb_lifestyle	vb_partial	vb_nucl_range	vb_prot_range	vb_isPhage	dvf_v_score	dvf_pvalue	gn_topology	gn_coordinates	gn_partial	gn_genes	gn_genetic_code	gn_hallmarks	gn_marker_enrichment	gn_taxonomy	gn_v_score	gn_fdr	is_provirus	provirus_range	provirus_source	host_rate
NC_076682.1_frag_90637_108942	18305	No		20	14	0	Low-quality	Genome-fragment	14.24	AAI-based (high-confidence)	0.0	1.0				full	0.927	0.133	0.98	0.085	0.813	0.98	NCLDV	0.0	60.0	0.0	1-18304	1-20						0.7519916296005249	0.0291373970843719	No terminal repeats			20.0	11.0	6.0	15.4645	Viruses;;;;Naldaviricetes;Lefavirales;Baculoviridae	0.9809		0			0.0
NC_076682.1_frag_108942_122568	13626	No		13	12	0	Low-quality	Genome-fragment	10.6	AAI-based (high-confidence)	0.0	1.0				full	0.553	0.34	0.987	0.075	0.813	0.987	NCLDV	0.0	78.6	0.0	54-13625	1-14						0.6777652502059937	0.0349346627388775	No terminal repeats			13.0	11.0	5.0	13.7463	Viruses;;;;Naldaviricetes;Lefavirales;Baculoviridae	0.981		0			0.0
NC_077058.1_frag_0_10444	10444	No		5	4	0	Medium-quality	Genome-fragment	86.77	AAI-based (medium-confidence)	0.0	1.0				full	0.72	0.127	0.347	1.0	0.993	1.0	RNA	1.0	20.0	0.0	3-10444	1-5						0.742828369140625	0.0296850215273056	No terminal repeats			5.0	11.0	2.0	3.4366	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Rhabdoviridae	0.973		0			0.0
NC_062773.1_frag_0_11012	11012	No		19	3	0	Low-quality	Genome-fragment	10.78	AAI-based (high-confidence)	0.0	1.0				full	0.953	0.407	0.447	0.08	0.687	0.953	dsDNAphage	0.0	76.5	0.0	163-11010	1-17						0.9999945163726808	0.0005665080444142	No terminal repeats			19.0	11.0	1.0	24.8913	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;	0.9824		0			0.0
NC_062773.1_frag_11012_28735	17723	No		22	6	0	Low-quality	Genome-fragment	17.28	AAI-based (high-confidence)	0.0	1.0				full	1.0	0.613	0.873	0.16	0.887	1.0	dsDNAphage	5.0	80.0	0.0	2-17722	1-20	lytic				1.0	0.9999974966049194	0.0004909736384923	No terminal repeats			22.0	11.0	6.0	23.2135	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;	0.9821		0			0.0
NC_062773.1_frag_28735_47943	19208	No		11	2	0	Low-quality	Genome-fragment	17.66	AAI-based (high-confidence)	0.0	1.0				full	1.0	0.313	0.82	0.235	0.887	1.0	dsDNAphage	5.0	90.9	0.0	3-19208	1-11	lytic				1.0	0.9999998211860656	0.0002643704207266	No terminal repeats			11.0	11.0	1.0	17.1828	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;	0.9829		0			0.0
NC_062773.1_frag_47943_64721	16778	No		13	1	0	Low-quality	Genome-fragment	15.87	AAI-based (high-confidence)	0.0	1.0				full	1.0	0.88	0.927	0.185	1.0	1.0	dsDNAphage	2.0	69.2	0.0	1-16778	1-13	lytic				1.0	0.9999946355819702	0.0005665080444142	No terminal repeats			13.0	11.0	0.0	14.9245	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;	0.9824		0			0.0
NC_062773.1_frag_64721_75579	10858	No		15	2	0	Low-quality	Genome-fragment	10.71	AAI-based (high-confidence)	0.0	1.0				full	0.933	0.48	0.84	0.155	0.933	0.933	dsDNAphage	0.0	66.7	0.0	1-10858	1-15	lytic				1.0	0.9999983310699464	0.0004343228340509	No terminal repeats			15.0	11.0	0.0	15.6198	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;	0.981		0			0.0
NC_062773.1_frag_75579_86232	10653	No		13	1	0	Low-quality	Genome-fragment	10.55	AAI-based (high-confidence)	0.0	1.0				full	0.967	0.76	0.773	0.185	0.973	0.973	lavidaviridae	0.0	69.2	0.0	1-10628	1-13	lytic				1.0	0.9999486804008484	0.0011518996903089	No terminal repeats			13.0	11.0	1.0	20.2438	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;	0.9827		0			0.0
NC_070989.1_frag_0_17150	17150	No		16	13	0	Low-quality	Genome-fragment	23.04	AAI-based (high-confidence)	0.0	1.0				full	1.0	0.213	0.3	0.055	0.273	1.0	dsDNAphage	6.0	94.1	0.0	1-17150	1-17	lytic				1.0	0.9999743700027466	0.0008686456681018	No terminal repeats			16.0	11.0	4.0	24.6902	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	0.9834		0			0.0
NC_070989.1_frag_17150_33260	16110	No		16	10	0	Low-quality	Genome-fragment	21.14	AAI-based (high-confidence)	0.0	1.0				full	0.973	0.493	0.42	0.06	0.347	0.973	dsDNAphage	0.0	93.8	0.0	1-16108	1-16	lytic				1.0	0.9999958872795104	0.0005476244429337	No terminal repeats			16.0	11.0	2.0	23.055	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	0.9827		0			0.0
NC_070989.1_frag_33260_48338	15078	No		39	22	1	Low-quality	Genome-fragment	19.76	AAI-based (high-confidence)	0.0	1.0				full	0.96	0.387	0.333	0.05	0.16	0.96	dsDNAphage	0.0	82.9	0.0	2-15077	1-41	lytic				1.0	0.9998708963394164	0.0018128257421255	No terminal repeats			39.0	11.0	0.0	46.8419	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	0.9824		0			0.0
NC_070989.1_frag_48338_58452	10114	No		13	7	0	Low-quality	Genome-fragment	13.27	AAI-based (high-confidence)	0.0	1.0				full	0.953	0.5	0.393	0.11	0.247	0.953	dsDNAphage	0.0	100.0	0.0	3-10113	1-13	lytic				1.0	0.999970316886902	0.0010197144799456	No terminal repeats			13.0	11.0	0.0	21.4606	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	0.9833		0			0.0
NC_070989.1_frag_58452_74699	16247	No		37	21	0	Low-quality	Genome-fragment	21.35	AAI-based (high-confidence)	0.0	1.0				full	0.953	0.187	0.68	0.04	0.14	0.953	dsDNAphage	0.0	84.6	0.0	3-16246	1-39	lytic				1.0	0.999999463558197	0.0003399048266485	No terminal repeats			37.0	11.0	0.0	57.7989	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	0.9808		0			0.0
NC_076723.1_frag_0_11546	11546	No		1	0	0	Not-determined	Genome-fragment			0.0	1.01	no viral genes detected																					0.6528304815292358	0.0368230228869249	No terminal repeats			1.0	11.0	0.0	1.7183	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Milneviricetes;;	0.95		0			0.0
NC_076723.1_frag_11546_26758	15212	No		6	1	0	Medium-quality	Genome-fragment	50.5	AAI-based (high-confidence)	0.0	1.0				full	0.72	0.273	0.18	1.0	0.76	1.0	RNA	1.0	16.7	0.0	2-14280	1-6	lytic				1.0	0.568560004234314	0.0458116171916307	No terminal repeats			6.0	11.0	1.0	3.4366	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Tobaniviridae	0.9584		0			0.0
NC_071029.1_frag_0_14170	14170	No		18	14	0	Low-quality	Genome-fragment	32.53	AAI-based (high-confidence)	0.0	1.0				full	0.987	0.22	0.313	0.015	0.287	0.987	dsDNAphage	5.0	61.1	0.0	85-14168	1-18	lytic				1.0	1.0	0.0	No terminal repeats			18.0	11.0	7.0	23.3389	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	0.9826		0			0.0
NC_071029.1_frag_14170_24693	10523	No		12	6	0	Low-quality	Genome-fragment	24.06	AAI-based (high-confidence)	0.0	1.0				full	0.987	0.02	0.72	0.015	0.073	0.987	dsDNAphage	2.0	41.7	8.3	2-10522	1-12	lytic				1.0	0.9996358156204224	0.002511518996903	No terminal repeats			12.0	11.0	0.0	18.0183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	0.9816		0			0.0
NC_071029.1_frag_24693_40053	15360	No		28	6	1	Low-quality	Genome-fragment	35.35	AAI-based (high-confidence)	0.0	1.0				full	0.94	0.133	0.213	0.015	0.113	0.94	dsDNAphage	0.0	39.3	0.0	131-15209	1-28	lytic				1.0	0.999703049659729	0.0022849157791373	No terminal repeats			28.0	11.0	1.0	19.8658	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	0.9743		0			0.0
NC_076510.1_frag_0_12980	12980	No		6	2	0	High-quality	High-quality	94.6	AAI-based (high-confidence)	0.0	1.0				full	0.527	0.027	0.633	1.0	0.873	1.0	RNA	1.0	16.7	0.0	168-12978	1-6						0.977330446243286	0.0095928695520809	No terminal repeats			6.0	11.0	1.0	10.3097	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Rhabdoviridae	0.9823		0			0.0
NC_077151.1_frag_0_11041	11041	No		7	2	0	Medium-quality	Genome-fragment	81.55	AAI-based (medium-confidence)	0.0	1.0				full	0.247	0.0	0.727	0.93	0.96	0.96	lavidaviridae	0.0	14.3	0.0	229-11041	1-7						0.963156521320343	0.0119155525341793	No terminal repeats			7.0	11.0	1.0	10.3097	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Rhabdoviridae	0.9798		0			0.0
NC_076921.1_frag_0_11626	11626	No		6	2	0	High-quality	High-quality	95.57	AAI-based (medium-confidence)	0.0	1.0				full	0.78	0.1	0.653	1.0	0.9	1.0	RNA	1.0	14.3	0.0	2-11625	1-7						0.9086520671844482	0.0170896593398292	No terminal repeats			6.0	11.0	1.0	1.7183	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;	0.9203		0			0.0
NC_083851.1_frag_0_10391	10391	No		6	2	0	Medium-quality	Genome-fragment	69.7	HMM-based (lower-bound)	0.0	1.0				full	0.493	0.027	0.687	1.0	0.86	1.0	RNA	1.0	16.7	0.0	173-10391	1-6						0.9948546886444092	0.0061182868796736	No terminal repeats			6.0	11.0	1.0	10.3097	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Rhabdoviridae	0.9712		0			0.0
NC_062774.1_frag_0_12066	12066	No		12	1	0	Low-quality	Genome-fragment	12.65	AAI-based (high-confidence)	0.0	1.0				full	1.0	0.927	0.767	0.19	1.0	1.0	dsDNAphage	2.0	91.7	0.0	554-12064	1-12	lytic				1.0	1.0	0.0	No terminal repeats			12.0	11.0	2.0	12.7771	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;	0.9828		0			0.0
NC_062774.1_frag_12066_30314	18248	No		10	2	0	Low-quality	Genome-fragment	19.11	AAI-based (high-confidence)	0.0	1.0				full	1.0	0.947	0.933	0.265	0.973	1.0	dsDNAphage	1.0	100.0	0.0	2-18246	1-10	lytic				1.0	1.0	0.0	No terminal repeats			10.0	11.0	1.0	12.9046	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;	0.9821		0			0.0
NC_062774.1_frag_30314_42731	12417	No		13	1	0	Low-quality	Genome-fragment	12.83	AAI-based (high-confidence)	0.0	1.0				full	0.987	0.453	0.88	0.2	0.887	0.987	dsDNAphage	0.0	92.3	0.0	2-12416	1-13						1.0	0.0	No terminal repeats			13.0	11.0	0.0	15.4645	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	0.982		0			0.0
NC_062774.1_frag_42731_61506	18775	No		5	0	0	Low-quality	Genome-fragment	19.55	AAI-based (high-confidence)	0.0	1.0	no viral genes detected			full	0.973	0.727	0.973	0.29	0.967	0.973	dsDNAphage	0.0	100.0	0.0	2-18773	1-5						1.0	0.0	No terminal repeats			5.0	11.0	0.0	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;	0.9833		0			0.0
NC_062774.1_frag_61506_81031	19525	No		23	4	0	Low-quality	Genome-fragment	20.45	AAI-based (high-confidence)	0.0	1.0				full	0.913	0.753	0.847	0.19	0.98	0.98	lavidaviridae	0.0	65.2	0.0	2-19525	1-23	lytic				1.0	0.9999665021896362	0.0010574816829065	No terminal repeats			23.0	11.0	0.0	22.4613	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;	0.9824		0			0.0
NC_062774.1_frag_81031_93353	12322	No		20	1	0	Low-quality	Genome-fragment	12.67	AAI-based (high-confidence)	0.0	1.0				full	0.987	0.953	0.8	0.45	1.0	1.0	lavidaviridae	0.0	45.0	0.0	1-12320	1-20	lytic				1.0	1.0	0.0	No terminal repeats			20.0	11.0	0.0	15.4139	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;	0.9818		0			0.0
NC_070911.1_frag_0_12929	12929	No		19	17	0	Low-quality	Genome-fragment	40.7	AAI-based (high-confidence)	0.0	1.0				full	1.0	0.827	0.387	0.055	0.327	1.0	dsDNAphage	15.0	100.0	0.0	2-12928	1-19	lytic				1.0	0.7694463729858398	0.0278533121836996	No terminal repeats			19.0	11.0	12.0	25.0898	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	0.9782		0			0.0
NC_070911.1_frag_12929_27219	14290	No		18	15	0	Low-quality	Genome-fragment	45.86	AAI-based (high-confidence)	0.0	1.0				full	0.993	0.0	0.08	0.0	0.007	0.993	dsDNAphage	6.0	72.2	11.1	3-14288	1-18	lysogenic				1.0	0.4061458706855774	0.0947390286275398	No terminal repeats			18.0	11.0	9.0	24.0787	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	0.9759		0			0.0
NC_077172.1_frag_0_10450	10450	No		5	4	0	Medium-quality	Genome-fragment	70.85	HMM-based (lower-bound)	0.0	1.0				full	0.833	0.233	0.4	1.0	0.973	1.0	RNA	1.0	20.0	0.0	85-10449	1-5						0.8341773748397827	0.0226225545736082	No terminal repeats			5.0	11.0	2.0	3.4366	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Rhabdoviridae	0.9325		0			0.0
NC_076570.1_frag_0_11897	11897	No		7	6	0	Medium-quality	Genome-fragment	64.49	AAI-based (medium-confidence)	0.0	1.0				full	0.773	0.073	0.44	1.0	0.72	1.0	RNA	1.0	14.3	0.0	1-11895	1-7						0.932870864868164	0.0153523680036256	No terminal repeats			7.0	11.0	6.0	10.3097	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Paramyxoviridae	0.9773		0			0.0
NC_073592.1_frag_0_19825	19825	No		24	13	0	Low-quality	Genome-fragment	46.67	AAI-based (high-confidence)	0.0	1.0				full	0.993	0.087	0.407	0.0	0.113	0.993	dsDNAphage	6.0	50.0	4.2	99-19823	1-24	lytic				1.0	0.9454131126403807	0.0141438175088752	No terminal repeats			24.0	11.0	7.0	32.7212	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	0.9818		0			0.0
NC_073592.1_frag_19825_35292	15467	No		25	4	0	Low-quality	Genome-fragment	36.43	AAI-based (high-confidence)	0.0	1.0				full	0.993	0.013	0.58	0.005	0.113	0.993	dsDNAphage	2.0	28.0	8.0	71-15466	1-25	lysogenic				1.0	0.8860667943954468	0.0188269506760329	No terminal repeats			25.0	11.0	0.0	14.1728	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	0.9429		0			0.0
NC_076509.1_frag_0_15359	15359	No		11	10	0	Low-quality	Genome-fragment	11.17	AAI-based (high-confidence)	0.0	1.04				full	0.673	0.3	0.3	0.105	0.913	0.913	lavidaviridae	0.0	81.8	0.0	2-15299	1-11						0.2158775180578231	0.1414570586902334	No terminal repeats			11.0	11.0	8.0	15.4645	Viruses;Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Orthoherpesviridae	0.9158		0			0.0
NC_076509.1_frag_15359_35332	19973	No		13	10	0	Low-quality	Genome-fragment	14.53	AAI-based (high-confidence)	0.0	1.0																						0.114056721329689	0.1815658282347609	No terminal repeats			13.0	11.0	4.0	12.028	Viruses;Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Orthoherpesviridae	0.9285		0			0.0
NC_076509.1_frag_35332_54061	18729	No		12	10	0	Low-quality	Genome-fragment	13.62	AAI-based (high-confidence)	0.0	1.02				full	0.52	0.22	0.133	0.075	0.593	0.593	lavidaviridae	0.0	83.3	0.0	2-18727	1-12						0.1649153530597686	0.1589243900596721	No terminal repeats			12.0	11.0	8.0	15.4645	Viruses;Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Orthoherpesviridae	0.9295		0			0.0
NC_076509.1_frag_54061_72322	18261	No		11	11	0	Low-quality	Genome-fragment	12.88	AAI-based (high-confidence)	0.0	1.0				full	0.78	0.213	0.367	0.075	0.727	0.78	dsDNAphage	0.0	90.9	0.0	2-18259	1-11						0.2675482034683227	0.1275209607976433	No terminal repeats			11.0	11.0	9.0	18.9011	Viruses;Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Orthoherpesviridae	0.9694		0			0.0
NC_076509.1_frag_72322_89258	16936	No		13	13	0	Low-quality	Genome-fragment	12.31	AAI-based (high-confidence)	0.0	1.0																						0.2068340182304382	0.1447805725507968	No terminal repeats			13.0	11.0	8.0	18.9011	Viruses;Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Orthoherpesviridae	0.9206		0			0.0
NC_076509.1_frag_89258_109051	19793	No		9	7	0	Low-quality	Genome-fragment	14.4	AAI-based (high-confidence)	0.0	1.13				full	0.34	0.2	0.48	0.025	0.693	0.693	lavidaviridae	0.0	66.7	11.1	2-13443	1-9						0.167248249053955	0.1580746279930508	No terminal repeats			9.0	11.0	3.0	6.8718	Viruses;Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Orthoherpesviridae	0.9453		0			0.0
NC_076509.1_frag_109051_127210	18159	No		12	8	0	Low-quality	Genome-fragment	13.49	AAI-based (high-confidence)	0.0	1.44				full	0.66	0.2	0.033	0.05	0.753	0.753	lavidaviridae	0.0	75.0	0.0	2-14375	1-12						0.4412318170070648	0.0859203867361583	No terminal repeats			12.0	11.0	9.0	18.9011	Viruses;Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Orthoherpesviridae	0.9781		0			0.0
NC_070877.1_frag_0_17584	17584	No		24	7	1	Low-quality	Genome-fragment	15.47	AAI-based (high-confidence)	0.0	1.0				full	0.993	0.033	0.153	0.005	0.0	0.993	dsDNAphage	3.0	69.6	4.3	614-17557	1-23	lytic				1.0	0.8945615291595459	0.0180716066168139	No terminal repeats			24.0	11.0	2.0	28.2573	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	0.9825		0			0.0
NC_070877.1_frag_17584_32698	15114	No		14	11	0	Low-quality	Genome-fragment	13.29	AAI-based (high-confidence)	0.0	1.0				full	1.0	0.613	0.347	0.2	0.427	1.0	dsDNAphage	9.0	92.9	0.0	2-15113	1-14	lytic				1.0	0.9500174522399902	0.0135961930659415	No terminal repeats			14.0	11.0	4.0	20.016	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	0.9828		0			0.0
NC_070877.1_frag_32698_52535	19837	No		49	13	0	Low-quality	Genome-fragment	17.45	AAI-based (high-confidence)	0.0	1.01				full	1.0	0.567	0.327	0.36	0.253	1.0	dsDNAphage	3.0	16.3	0.0	3-19836	1-49	lytic				1.0	0.9178211092948914	0.0164287332880126	No terminal repeats			49.0	11.0	2.0	25.4791	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	0.9762		0			0.0
NC_070877.1_frag_52535_64112	11577	No		18	9	0	Low-quality	Genome-fragment	10.18	AAI-based (high-confidence)	0.0	1.0				full	0.967	0.367	0.113	0.235	0.127	0.967	dsDNAphage	0.0	36.8	0.0	356-11577	1-19	lytic				1.0	0.9938205480575562	0.006571493315205	No terminal repeats			18.0	11.0	1.0	17.1828	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	0.9825		0			0.0
NC_070877.1_frag_64112_75314	11202	No		25	11	0	Low-quality	Genome-fragment	9.85	AAI-based (high-confidence)	0.0	1.0				full	0.967	0.493	0.153	0.235	0.233	0.967	dsDNAphage	0.0	40.0	0.0	1-11005	1-25	lytic				1.0	0.969188928604126	0.0109713724601556	No terminal repeats			25.0	11.0	0.0	16.1212	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	0.9805		0			0.0
NC_070877.1_frag_75314_92946	17632	No		45	8	0	Low-quality	Genome-fragment	15.51	AAI-based (high-confidence)	0.0	1.0				full	0.98	0.673	0.16	0.41	0.107	0.98	dsDNAphage	0.0	13.6	0.0	1-17632	1-44	lytic				1.0	0.9549705982208252	0.0130296850215273	No terminal repeats			45.0	11.0	0.0	25.9821	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	0.9808		0			0.0
NC_070877.1_frag_92946_112086	19140	No		52	7	0	Low-quality	Genome-fragment	16.84	AAI-based (high-confidence)	0.0	1.0				full	1.0	0.533	0.187	0.37	0.087	1.0	dsDNAphage	1.0	14.0	0.0	1-19138	1-50	lytic				1.0	0.9989203214645386	0.0037389530931339	No terminal repeats			52.0	11.0	0.0	19.6885	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	0.9808		0			0.0
NC_076869.1_frag_0_11809	11809	No		9	6	0	Low-quality	Genome-fragment	8.24	AAI-based (high-confidence)	0.0	1.01				full	0.607	0.4	0.9	0.175	0.987	0.987	lavidaviridae	0.0	66.7	0.0	1-10635	1-9						0.3305009007453918	0.1123574288088224	No terminal repeats			9.0	11.0	2.0	8.5914	Viruses;;;;Naldaviricetes;Lefavirales;Baculoviridae	0.9812		0			0.0
